2020-04-08 18:25:35, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.881, 	10.206, 	5.833, 	10.0, 	0.822904%, 	0.760000%, 	0.062904%
2020-04-08 18:35:06, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.805, 	210.0, 	1.085271%, 	0.760000%, 	0.325271%
2020-04-08 18:35:21, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.808, 	10.0, 	1.033058%, 	0.760000%, 	0.273058%
2020-04-08 18:35:36, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.809, 	359.86953997, 	1.015665%, 	0.760000%, 	0.255665%
2020-04-08 18:35:51, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.809, 	358.3262151, 	1.015665%, 	0.760000%, 	0.255665%
2020-04-08 18:36:06, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.806, 	24.10065408, 	1.067861%, 	0.760000%, 	0.307861%
2020-04-08 18:36:21, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.806, 	23.00098905, 	1.067861%, 	0.760000%, 	0.307861%
2020-04-08 18:36:36, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.806, 	139.96176535, 	1.067861%, 	0.760000%, 	0.307861%
2020-04-08 18:36:51, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.804, 	125.84151926, 	1.102688%, 	0.760000%, 	0.342688%
2020-04-08 18:37:06, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	10.206, 	5.8, 	64.10065408, 	1.172414%, 	0.760000%, 	0.412414%
2020-04-08 18:37:21, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	8.206, 	5.798, 	14.10065408, 	1.207313%, 	0.760000%, 	0.447313%
2020-04-08 18:37:36, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	8.206, 	5.798, 	18.63605081, 	1.207313%, 	0.760000%, 	0.447313%
2020-04-08 18:37:51, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	26.006, 	5.805, 	152.24614663, 	1.085271%, 	0.760000%, 	0.325271%
2020-04-08 18:38:06, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.868, 	26.006, 	5.806, 	24.10065408, 	1.067861%, 	0.760000%, 	0.307861%
2020-04-08 18:38:21, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.828, 	60.504, 	5.8, 	50.0, 	0.482759%, 	0.760000%, 	-0.277241%
2020-04-08 18:39:44, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.844, 	33.2, 	5.797, 	18.70160564, 	0.810764%, 	0.760000%, 	0.050764%
2020-04-08 18:39:59, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	48.571, 	5.799, 	140.14711195, 	0.689774%, 	0.760000%, 	-0.070226%
2020-04-08 19:04:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.776, 	17.88484269, 	1.021468%, 	0.760000%, 	0.261468%
2020-04-08 19:04:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.777, 	24.10065408, 	1.003981%, 	0.760000%, 	0.243981%
2020-04-08 19:05:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.777, 	10.0, 	1.003981%, 	0.760000%, 	0.243981%
2020-04-08 19:05:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.845, 	60.328, 	5.781, 	10.0, 	1.107075%, 	0.760000%, 	0.347075%
2020-04-08 19:05:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	60.317, 	5.779, 	24.10065408, 	1.159370%, 	0.760000%, 	0.399370%
2020-04-08 19:05:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	10.272, 	5.779, 	288.23727174, 	1.159370%, 	0.760000%, 	0.399370%
2020-04-08 19:06:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	10.272, 	5.779, 	374.30427174, 	1.159370%, 	0.760000%, 	0.399370%
2020-04-08 19:06:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.832, 	17.72, 	5.779, 	590.30427174, 	0.917114%, 	0.760000%, 	0.157114%
2020-04-08 19:06:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	28.6, 	5.779, 	546.60427174, 	0.899810%, 	0.760000%, 	0.139810%
2020-04-08 19:06:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	28.6, 	5.777, 	233.65705157, 	0.934741%, 	0.760000%, 	0.174741%
2020-04-08 19:07:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	28.6, 	5.775, 	219.51672476, 	0.969697%, 	0.760000%, 	0.209697%
2020-04-08 19:07:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	28.6, 	5.775, 	10.0, 	0.969697%, 	0.760000%, 	0.209697%
2020-04-08 19:07:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	31.3, 	5.776, 	10.0, 	0.986842%, 	0.760000%, 	0.226842%
2020-04-08 19:07:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	6.0, 	5.776, 	185.3932378, 	0.986842%, 	0.760000%, 	0.226842%
2020-04-08 19:08:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	6.0, 	5.774, 	135.88130295, 	1.021822%, 	0.760000%, 	0.261822%
2020-04-08 19:08:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	28.5, 	5.774, 	10.0, 	1.056460%, 	0.760000%, 	0.296460%
2020-04-08 19:08:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	6.0, 	5.772, 	135.9156124, 	1.091476%, 	0.760000%, 	0.331476%
2020-04-08 19:08:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.772, 	10.0, 	1.091476%, 	0.760000%, 	0.331476%
2020-04-08 19:09:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.772, 	10.0, 	1.091476%, 	0.760000%, 	0.331476%
2020-04-08 19:09:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.772, 	117.8, 	1.091476%, 	0.760000%, 	0.331476%
2020-04-08 19:09:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.835, 	60.431, 	5.773, 	122.0, 	1.073965%, 	0.760000%, 	0.313965%
2020-04-08 19:09:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.838, 	60.4, 	5.777, 	27.7642429, 	1.055911%, 	0.760000%, 	0.295911%
2020-04-08 19:10:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	603.907, 	5.779, 	86.067, 	1.055546%, 	0.760000%, 	0.295546%
2020-04-08 19:10:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	60.297, 	5.779, 	86.067, 	1.193978%, 	0.760000%, 	0.433978%
2020-04-08 19:10:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.841, 	6.0, 	5.779, 	86.067, 	1.072850%, 	0.760000%, 	0.312850%
2020-04-08 19:10:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.841, 	25.4, 	5.783, 	10.0, 	1.002940%, 	0.760000%, 	0.242940%
2020-04-08 19:11:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	451.978, 	5.779, 	22.24909816, 	1.090154%, 	0.760000%, 	0.330154%
2020-04-08 19:11:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	15.2, 	5.781, 	9.36723702, 	1.124373%, 	0.760000%, 	0.364373%
2020-04-08 19:11:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.843, 	6.0, 	5.779, 	26.88676366, 	1.107458%, 	0.760000%, 	0.347458%
2020-04-08 19:11:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	31.5, 	5.779, 	26.25400068, 	1.038242%, 	0.760000%, 	0.278242%
2020-04-08 19:12:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	31.5, 	5.779, 	10.0, 	1.055546%, 	0.760000%, 	0.295546%
2020-04-08 19:12:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	31.5, 	5.779, 	150.24463513, 	1.055546%, 	0.760000%, 	0.295546%
2020-04-08 19:12:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	46.3, 	5.779, 	150.21925651, 	1.055546%, 	0.760000%, 	0.295546%
2020-04-08 19:12:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	100.0, 	5.778, 	10.0, 	0.899965%, 	0.760000%, 	0.139965%
2020-04-08 19:13:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	100.0, 	5.778, 	10.0, 	0.899965%, 	0.760000%, 	0.139965%
2020-04-08 19:13:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.832, 	17.72, 	5.778, 	10.0, 	0.934579%, 	0.760000%, 	0.174579%
2020-04-08 19:13:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	100.0, 	5.778, 	10.0, 	0.899965%, 	0.760000%, 	0.139965%
2020-04-08 19:13:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	100.0, 	5.779, 	126.23323409, 	0.882506%, 	0.760000%, 	0.122506%
2020-04-08 19:14:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	160.483, 	5.779, 	126.21115257, 	0.882506%, 	0.760000%, 	0.122506%
2020-04-08 19:14:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	18.16, 	5.779, 	126.21115257, 	0.899810%, 	0.760000%, 	0.139810%
2020-04-08 19:14:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.83, 	100.0, 	5.779, 	126.21115257, 	0.882506%, 	0.760000%, 	0.122506%
2020-04-08 19:14:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.831, 	17.39, 	5.78, 	100.0, 	0.882353%, 	0.760000%, 	0.122353%
2020-04-08 19:15:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	60.452, 	5.787, 	10.0, 	0.794885%, 	0.760000%, 	0.034885%
2020-04-08 19:15:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	21.1, 	5.787, 	163.49027629, 	0.915846%, 	0.760000%, 	0.155846%
2020-04-08 19:15:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	60.39, 	5.788, 	121.36461632, 	0.881133%, 	0.760000%, 	0.121133%
2020-04-08 19:15:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	60.39, 	5.786, 	5.41343656, 	0.916004%, 	0.760000%, 	0.156004%
2020-04-08 19:16:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.836, 	60.421, 	5.786, 	64.25643656, 	0.864155%, 	0.760000%, 	0.104155%
2020-04-08 19:16:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:16:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:16:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	60.452, 	5.786, 	58.843, 	0.812306%, 	0.760000%, 	0.052306%
2020-04-08 19:17:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	60.41, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	60.41, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	100.674, 	5.786, 	55.65981465, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	60.39, 	5.786, 	53.33648488, 	0.916004%, 	0.760000%, 	0.156004%
2020-04-08 19:18:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	15.09, 	5.786, 	43.16540939, 	0.933287%, 	0.760000%, 	0.173287%
2020-04-08 19:19:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.841, 	60.369, 	5.786, 	43.16540939, 	0.950570%, 	0.760000%, 	0.190570%
2020-04-08 19:19:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	17.35, 	5.786, 	43.16540939, 	0.967853%, 	0.760000%, 	0.207853%
2020-04-08 19:19:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.785, 	121.36461632, 	0.985307%, 	0.760000%, 	0.225307%
2020-04-08 19:19:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.786, 	43.16540939, 	0.967853%, 	0.760000%, 	0.207853%
2020-04-08 19:20:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.786, 	9.39e-06, 	0.967853%, 	0.760000%, 	0.207853%
2020-04-08 19:20:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.844, 	10.282, 	5.786, 	9.39e-06, 	1.002420%, 	0.760000%, 	0.242420%
2020-04-08 19:20:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.844, 	60.338, 	5.786, 	9.39e-06, 	1.002420%, 	0.760000%, 	0.242420%
2020-04-08 19:20:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.845, 	18.8, 	5.795, 	5.41343656, 	0.862813%, 	0.760000%, 	0.102813%
2020-04-08 19:21:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.845, 	27.082, 	5.791, 	135.4652704, 	0.932481%, 	0.760000%, 	0.172481%
2020-04-08 19:21:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	70.599, 	5.793, 	121.36461632, 	0.914897%, 	0.760000%, 	0.154897%
2020-04-08 19:21:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	60.276, 	5.793, 	121.36461632, 	0.983946%, 	0.760000%, 	0.223946%
2020-04-08 19:21:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	131.29100193, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:22:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	189.68160312, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	67.88867439, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	193.79545246, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	174.88867439, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.789, 	10.0, 	1.019174%, 	0.760000%, 	0.259174%
2020-04-08 19:23:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	136.15314496, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:24:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:24:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	5.41343656, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:24:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	10.0, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:24:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.798, 	251.07569987, 	0.862366%, 	0.760000%, 	0.102366%
2020-04-08 19:25:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.849, 	70.569, 	5.798, 	126.02640442, 	0.879614%, 	0.760000%, 	0.119614%
2020-04-08 19:25:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	60.276, 	5.8, 	346.83607073, 	0.862069%, 	0.760000%, 	0.102069%
2020-04-08 19:25:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.798, 	125.03607073, 	0.896861%, 	0.760000%, 	0.136861%
2020-04-08 19:25:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.799, 	112.43084257, 	0.879462%, 	0.760000%, 	0.119462%
2020-04-08 19:26:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.799, 	112.43084257, 	0.879462%, 	0.760000%, 	0.119462%
2020-04-08 19:26:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.851, 	60.266, 	5.798, 	111.94143254, 	0.914108%, 	0.760000%, 	0.154108%
2020-04-08 19:26:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.851, 	10.282, 	5.799, 	111.94143254, 	0.896706%, 	0.760000%, 	0.136706%
2020-04-08 19:26:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.798, 	111.94143254, 	0.931356%, 	0.760000%, 	0.171356%
2020-04-08 19:27:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.799, 	111.94143254, 	0.913951%, 	0.760000%, 	0.153951%
2020-04-08 19:27:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.799, 	111.94143254, 	0.913951%, 	0.760000%, 	0.153951%
2020-04-08 19:27:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.854, 	70.517, 	5.799, 	115.93688922, 	0.948439%, 	0.760000%, 	0.188439%
2020-04-08 19:27:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.855, 	88.907, 	5.808, 	9.09918151, 	0.809229%, 	0.760000%, 	0.049229%
2020-04-08 19:28:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	70.496, 	5.805, 	9.09918151, 	0.878553%, 	0.760000%, 	0.118553%
2020-04-08 19:28:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	10.282, 	5.806, 	9.09918151, 	0.861178%, 	0.760000%, 	0.101178%
2020-04-08 19:28:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	10.282, 	5.805, 	10.0, 	0.878553%, 	0.760000%, 	0.118553%
2020-04-08 19:28:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	30.282, 	5.808, 	10.0, 	0.826446%, 	0.760000%, 	0.066446%
2020-04-08 19:29:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.857, 	60.204, 	5.809, 	149.99054761, 	0.826304%, 	0.760000%, 	0.066304%
