2020-04-08 18:19:32, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000805, 	45.275, 	0.000797, 	111.97296623, 	1.003764%, 	0.760000%, 	0.243764%
2020-04-08 20:38:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.78907244, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:38:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.83044533, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.83044533, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.8041645, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.8041645, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000788, 	367.71804057, 	1.015228%, 	0.760000%, 	0.255228%
2020-04-08 20:40:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000788, 	367.71804057, 	1.015228%, 	0.760000%, 	0.255228%
2020-04-08 20:40:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:40:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:40:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	5.368, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:42:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:42:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000792, 	82.754, 	0.000787, 	117.85255753, 	0.635324%, 	0.760000%, 	-0.124676%
2020-04-08 21:26:41, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	0.42, 	0.000791, 	197.92250262, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 21:26:56, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	0.42, 	0.000791, 	197.92250262, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 21:27:11, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	59.03, 	0.000791, 	197.92250262, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 21:27:26, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	0.42, 	0.000791, 	197.92250262, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 21:27:41, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	0.42, 	0.000791, 	115.46850262, 	0.884956%, 	0.760000%, 	0.124956%
2020-04-08 21:27:56, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000797, 	471.359, 	0.000791, 	198.04850262, 	0.758534%, 	0.760000%, 	-0.001466%
2020-04-09 04:12:14, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	110.13344365, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:12:29, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	1135.44108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:12:44, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	1135.44108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:12:59, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	1135.44108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:13:14, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	1135.44108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:13:29, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	110.14108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:13:45, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	1160.84108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:14:00, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000797, 	110.14108897, 	0.878294%, 	0.760000%, 	0.118294%
2020-04-09 04:14:15, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000804, 	0.957, 	0.000798, 	3568.46723548, 	0.751880%, 	0.760000%, 	-0.008120%
2020-04-09 04:51:21, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.0008, 	0.619, 	0.000793, 	421.7608924, 	0.882724%, 	0.760000%, 	0.122724%
2020-04-09 04:51:36, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.0008, 	0.619, 	0.000793, 	421.7608924, 	0.882724%, 	0.760000%, 	0.122724%
2020-04-09 04:51:51, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.0008, 	0.619, 	0.000793, 	421.7608924, 	0.882724%, 	0.760000%, 	0.122724%
2020-04-09 04:52:06, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	171.866, 	0.000793, 	421.7608924, 	0.378310%, 	0.760000%, 	-0.381690%
2020-04-09 12:50:39, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	185.94451361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:50:54, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	185.94451361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:51:09, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	102.13351361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:51:24, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	102.13351361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:51:39, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	102.13351361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:51:54, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	26.138, 	0.000786, 	102.13351361, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:52:09, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	251.61758899, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:52:24, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000786, 	101.88364521, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:52:39, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000786, 	101.88364521, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:52:54, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000786, 	101.88364521, 	1.017812%, 	0.760000%, 	0.257812%
2020-04-09 12:53:09, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	251.63330558, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:53:24, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:53:39, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:53:54, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:54:09, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:54:24, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
2020-04-09 12:54:39, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000794, 	49.738, 	0.000787, 	149.8072103, 	0.889454%, 	0.760000%, 	0.129454%
