2020-04-09 07:35:51, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	3.157, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 08:08:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:08:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:08:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:09:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:09:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:09:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:09:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:10:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:10:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:10:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:10:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:11:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:11:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:11:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:11:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:12:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:12:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:12:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:12:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:13:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:13:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:13:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:13:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:14:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:14:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:14:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:14:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:15:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:15:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:15:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:15:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:16:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:16:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:16:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:16:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:17:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:17:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:17:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:17:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:18:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:18:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	9.249, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:18:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001734, 	27.485, 	-0.200115%, 	0.190000%, 	-0.390115%
