2020-04-07 21:13:53, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00780006, 	4.763, 	0.00754, 	97.38828, 	3.449072%, 	0.400000%, 	3.049072%
2020-04-07 21:58:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	107.30407035, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 21:59:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	4.628, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 21:59:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	4.628, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 22:00:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	97.781768, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 22:00:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	97.88014, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:01:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	97.781768, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:01:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	96.994792, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:02:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007597, 	96.40456, 	1.938660%, 	0.400000%, 	1.538660%
2020-04-07 22:02:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007597, 	97.191536, 	1.938660%, 	0.400000%, 	1.538660%
2020-04-07 22:03:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007595, 	96.207816, 	1.965504%, 	0.400000%, 	1.565504%
2020-04-07 22:03:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.0768, 	0.007595, 	97.191536, 	1.792232%, 	0.400000%, 	1.392232%
2020-04-07 22:04:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.0768, 	0.007596, 	97.38828, 	1.778831%, 	0.400000%, 	1.378831%
2020-04-07 22:04:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772004, 	13.36, 	0.007594, 	4.605, 	1.659731%, 	0.400000%, 	1.259731%
2020-04-07 22:05:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772014, 	110.945024, 	0.007594, 	96.502932, 	1.661048%, 	0.400000%, 	1.261048%
2020-04-07 22:05:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.00026061, 	0.00759, 	108.04340636, 	1.859289%, 	0.400000%, 	1.459289%
2020-04-07 22:06:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.00026061, 	0.007588, 	0.076, 	1.886136%, 	0.400000%, 	1.486136%
2020-04-07 22:06:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.00026061, 	0.007586, 	65.70303932, 	1.912998%, 	0.400000%, 	1.512998%
2020-04-07 22:07:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.00026061, 	0.007584, 	54.750861, 	1.939873%, 	0.400000%, 	1.539873%
2020-04-07 22:07:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772, 	0.07147668, 	0.007582, 	15.56251467, 	1.820100%, 	0.400000%, 	1.420100%
2020-04-07 22:08:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772, 	0.07147668, 	0.00758, 	97.093164, 	1.846966%, 	0.400000%, 	1.446966%
2020-04-07 22:08:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772, 	0.07147668, 	0.00758, 	0.076, 	1.846966%, 	0.400000%, 	1.446966%
2020-04-07 22:09:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772, 	0.07147668, 	0.007578, 	97.683396, 	1.873845%, 	0.400000%, 	1.473845%
2020-04-07 22:09:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771599, 	0.12030604, 	0.007575, 	96.994792, 	1.861254%, 	0.400000%, 	1.461254%
2020-04-07 22:10:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770004, 	13.36, 	0.0076, 	97.683396, 	1.316316%, 	0.400000%, 	0.916316%
2020-04-07 22:10:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770022, 	4.569, 	0.0076, 	4.57, 	1.318684%, 	0.400000%, 	0.918684%
2020-04-07 22:11:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770037, 	80.46044413, 	0.0076, 	97.38828, 	1.320658%, 	0.400000%, 	0.920658%
2020-04-07 22:11:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770042, 	80.18912375, 	0.0076, 	96.601304, 	1.321316%, 	0.400000%, 	0.921316%
2020-04-07 22:12:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077006, 	51.95247413, 	0.0076, 	4.545, 	1.323684%, 	0.400000%, 	0.923684%
2020-04-07 22:12:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770078, 	79.42340559, 	0.0076, 	0.0779, 	1.326053%, 	0.400000%, 	0.926053%
2020-04-07 22:13:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770094, 	14.89778192, 	0.0076, 	96.601304, 	1.328158%, 	0.400000%, 	0.928158%
2020-04-07 22:13:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770103, 	43.49747374, 	0.007566, 	96.306188, 	1.784695%, 	0.400000%, 	1.384695%
2020-04-07 22:14:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770107, 	97.191536, 	0.007566, 	97.683396, 	1.785223%, 	0.400000%, 	1.385223%
2020-04-07 22:14:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770665, 	90.4214507, 	0.007566, 	4.545, 	1.858974%, 	0.400000%, 	1.458974%
2020-04-07 22:15:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770766, 	4.536, 	0.007566, 	4.545, 	1.872324%, 	0.400000%, 	1.472324%
2020-04-07 22:15:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00770972, 	0.176, 	0.007566, 	4.545, 	1.899551%, 	0.400000%, 	1.499551%
2020-04-07 22:16:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771075, 	97.465908, 	0.007566, 	4.531, 	1.913164%, 	0.400000%, 	1.513164%
2020-04-07 22:16:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771128, 	73.36, 	0.007566, 	14.217102, 	1.920169%, 	0.400000%, 	1.520169%
2020-04-07 22:17:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771148, 	74.94769901, 	0.007566, 	96.109444, 	1.922813%, 	0.400000%, 	1.522813%
2020-04-07 22:17:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771172, 	107.62849678, 	0.007566, 	15.79599227, 	1.925985%, 	0.400000%, 	1.525985%
2020-04-07 22:18:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771202, 	120.98849678, 	0.007566, 	93.86015345, 	1.929950%, 	0.400000%, 	1.529950%
2020-04-07 22:18:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772237, 	4.548, 	0.007566, 	4.547, 	2.066746%, 	0.400000%, 	1.666746%
2020-04-07 22:19:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772254, 	96.40456, 	0.007566, 	4.547, 	2.068993%, 	0.400000%, 	1.668993%
2020-04-07 22:19:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772279, 	13.36, 	0.007566, 	4.567, 	2.072297%, 	0.400000%, 	1.672297%
2020-04-07 22:20:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772298, 	97.486652, 	0.007566, 	4.563, 	2.074808%, 	0.400000%, 	1.674808%
2020-04-07 22:20:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772315, 	13.36, 	0.007566, 	4.565, 	2.077055%, 	0.400000%, 	1.677055%
2020-04-07 22:21:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772324, 	4.563, 	0.007566, 	4.563, 	2.078245%, 	0.400000%, 	1.678245%
2020-04-07 22:21:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772331, 	13.36, 	0.007566, 	16.532118, 	2.079170%, 	0.400000%, 	1.679170%
2020-04-07 22:22:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00771221, 	121.18657703, 	0.007566, 	14.673719, 	1.932461%, 	0.400000%, 	1.532461%
2020-04-07 22:22:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772227, 	17.933, 	0.007566, 	21.97775637, 	2.065424%, 	0.400000%, 	1.665424%
2020-04-07 22:23:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772251, 	101.271676, 	0.007566, 	4.573, 	2.068596%, 	0.400000%, 	1.668596%
2020-04-07 22:23:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00772275, 	156.15298335, 	0.007566, 	4.573, 	2.071768%, 	0.400000%, 	1.671768%
2020-04-07 22:24:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773512, 	4.565, 	0.007566, 	4.564, 	2.235263%, 	0.400000%, 	1.835263%
2020-04-07 22:24:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773531, 	13.36, 	0.007566, 	4.566, 	2.237774%, 	0.400000%, 	1.837774%
2020-04-07 22:25:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077356, 	96.306188, 	0.007566, 	4.566, 	2.241607%, 	0.400000%, 	1.841607%
2020-04-07 22:25:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773612, 	4.581, 	0.007566, 	4.566, 	2.248480%, 	0.400000%, 	1.848480%
2020-04-07 22:26:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773878, 	97.093164, 	0.007566, 	4.582, 	2.283637%, 	0.400000%, 	1.883637%
2020-04-07 22:26:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773899, 	13.36, 	0.007566, 	6.32682, 	2.286413%, 	0.400000%, 	1.886413%
2020-04-07 22:27:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077392, 	96.306188, 	0.007566, 	3.12109816, 	2.289188%, 	0.400000%, 	1.889188%
2020-04-07 22:27:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773939, 	4.601, 	0.007566, 	4.595, 	2.291700%, 	0.400000%, 	1.891700%
2020-04-07 22:28:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773968, 	97.978512, 	0.007566, 	4.595, 	2.295533%, 	0.400000%, 	1.895533%
2020-04-07 22:28:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773997, 	17.959, 	0.007566, 	4.595, 	2.299366%, 	0.400000%, 	1.899366%
2020-04-07 22:29:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774022, 	98.273628, 	0.007566, 	4.595, 	2.302670%, 	0.400000%, 	1.902670%
2020-04-07 22:29:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774297, 	97.683396, 	0.007566, 	4.595, 	2.339017%, 	0.400000%, 	1.939017%
2020-04-07 22:30:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774469, 	100.46028, 	0.007566, 	4.595, 	2.361750%, 	0.400000%, 	1.961750%
2020-04-07 22:30:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774482, 	4.613, 	0.007566, 	4.595, 	2.363468%, 	0.400000%, 	1.963468%
2020-04-07 22:31:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774509, 	97.978512, 	0.007566, 	4.595, 	2.367037%, 	0.400000%, 	1.967037%
2020-04-07 22:31:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774534, 	17.19, 	0.007566, 	4.595, 	2.370341%, 	0.400000%, 	1.970341%
2020-04-07 22:32:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774552, 	4.611, 	0.007566, 	2.55370696, 	2.372720%, 	0.400000%, 	1.972720%
2020-04-07 22:32:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774576, 	4.62, 	0.007566, 	2.55370696, 	2.375892%, 	0.400000%, 	1.975892%
2020-04-07 22:33:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774597, 	96.699676, 	0.007566, 	4.618, 	2.378668%, 	0.400000%, 	1.978668%
2020-04-07 22:33:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774609, 	17.976, 	0.007566, 	4.616, 	2.380254%, 	0.400000%, 	1.980254%
2020-04-07 22:34:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774634, 	97.683396, 	0.007566, 	35.42311631, 	2.383558%, 	0.400000%, 	1.983558%
2020-04-07 22:34:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774535, 	4.625, 	0.007566, 	97.38828, 	2.370473%, 	0.400000%, 	1.970473%
2020-04-07 22:35:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077351, 	35.54635748, 	0.007566, 	4.625, 	2.234999%, 	0.400000%, 	1.834999%
2020-04-07 22:35:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773519, 	3.83, 	0.007566, 	96.207816, 	2.236188%, 	0.400000%, 	1.836188%
2020-04-07 22:36:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773526, 	96.89642, 	0.007566, 	96.89642, 	2.237113%, 	0.400000%, 	1.837113%
2020-04-07 22:36:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773536, 	0.96083942, 	0.007566, 	96.699676, 	2.238435%, 	0.400000%, 	1.838435%
2020-04-07 22:37:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773546, 	96.601304, 	0.007566, 	27.40763204, 	2.239757%, 	0.400000%, 	1.839757%
2020-04-07 22:37:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773548, 	108.18809, 	0.007566, 	87.76508816, 	2.240021%, 	0.400000%, 	1.840021%
2020-04-07 22:38:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773553, 	107.10865503, 	0.007566, 	26.51173827, 	2.240682%, 	0.400000%, 	1.840682%
2020-04-07 22:38:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773559, 	10.30264005, 	0.007566, 	19.12285271, 	2.241475%, 	0.400000%, 	1.841475%
2020-04-07 22:39:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773621, 	97.585024, 	0.007566, 	4.618, 	2.249670%, 	0.400000%, 	1.849670%
2020-04-07 22:39:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773717, 	7.17635, 	0.007566, 	4.618, 	2.262358%, 	0.400000%, 	1.862358%
2020-04-07 22:40:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773895, 	97.88014, 	0.007566, 	4.618, 	2.285884%, 	0.400000%, 	1.885884%
2020-04-07 22:40:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077392, 	13.536, 	0.007566, 	4.618, 	2.289188%, 	0.400000%, 	1.889188%
2020-04-07 22:41:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774281, 	96.306188, 	0.007566, 	4.618, 	2.336902%, 	0.400000%, 	1.936902%
2020-04-07 22:41:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774322, 	4.608, 	0.007566, 	4.618, 	2.342321%, 	0.400000%, 	1.942321%
2020-04-07 22:42:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774351, 	13.36, 	0.007566, 	4.618, 	2.346154%, 	0.400000%, 	1.946154%
2020-04-07 22:42:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774374, 	13.36, 	0.007566, 	4.62, 	2.349194%, 	0.400000%, 	1.949194%
2020-04-07 22:43:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774391, 	96.89642, 	0.007566, 	4.33791573, 	2.351441%, 	0.400000%, 	1.951441%
2020-04-07 22:43:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774398, 	4.611, 	0.007566, 	4.33791573, 	2.352366%, 	0.400000%, 	1.952366%
2020-04-07 22:44:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774424, 	97.465908, 	0.007566, 	4.612, 	2.355802%, 	0.400000%, 	1.955802%
2020-04-07 22:44:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077459, 	13.36, 	0.007566, 	4.611, 	2.377743%, 	0.400000%, 	1.977743%
2020-04-07 22:45:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775345, 	96.699676, 	0.007566, 	96.207816, 	2.477531%, 	0.400000%, 	2.077531%
2020-04-07 22:45:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775457, 	97.38828, 	0.007566, 	14.63193997, 	2.492334%, 	0.400000%, 	2.092334%
2020-04-07 22:46:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775476, 	95.4342782, 	0.007566, 	4.619, 	2.494845%, 	0.400000%, 	2.094845%
2020-04-07 22:46:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775498, 	97.486652, 	0.007566, 	4.622, 	2.497753%, 	0.400000%, 	2.097753%
2020-04-07 22:47:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775512, 	0.176, 	0.007566, 	4.616, 	2.499603%, 	0.400000%, 	2.099603%
2020-04-07 22:47:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776194, 	97.781768, 	0.007566, 	4.615, 	2.589744%, 	0.400000%, 	2.189744%
2020-04-07 22:48:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077621, 	96.798048, 	0.007566, 	90.03595932, 	2.591858%, 	0.400000%, 	2.191858%
2020-04-07 22:48:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.007782, 	2.0, 	0.007566, 	2.4951039, 	2.854877%, 	0.400000%, 	2.454877%
2020-04-07 22:49:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776599, 	96.601304, 	0.007566, 	96.207816, 	2.643273%, 	0.400000%, 	2.243273%
2020-04-07 22:49:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776616, 	13.36, 	0.007566, 	112.65497306, 	2.645519%, 	0.400000%, 	2.245519%
2020-04-07 22:50:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776635, 	96.306188, 	0.007566, 	114.52404106, 	2.648031%, 	0.400000%, 	2.248031%
2020-04-07 22:50:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776661, 	51.65735992, 	0.007566, 	100.68218106, 	2.651467%, 	0.400000%, 	2.251467%
2020-04-07 22:51:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077667, 	39.32637478, 	0.007566, 	97.191536, 	2.652657%, 	0.400000%, 	2.252657%
2020-04-07 22:51:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.0077668, 	4.622, 	0.007566, 	110.836652, 	2.653978%, 	0.400000%, 	2.253978%
2020-04-07 22:52:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00776689, 	97.585024, 	0.007566, 	96.798048, 	2.655168%, 	0.400000%, 	2.255168%
